Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),Column 7,Column 8,Column 9
3.72,SEB,3 månader,11137.0,,,,,
2.93,Handelsbanken,3 år,11138.0,"1,9 mkr",mars 2012,,,
4.25,Handelsbanken,3 månader,11138.0,,,,,
3.92,Handelsbanken,3 månader,11138.0,6,20120320,,,
3.78,Handelsbanken,3 månader,11138.0,2 mkr,20120201,,,
2.68,SEB,2 år,11139.0,,,,,
3.4,Handelsbanken,3 år,11139.0,,,,,
3.3,SEB,1 år,11139.0,3000000,20120115,,,
3.48,SEB,3 månader,11139.0,806000 kr,2011-06-20,,,
3.8,Skandiabanken,3 månader,11139.0,2200000,2012-03-01,,,
3.8,Skandiabanken,3 månader,11139.0,2200000,2012-03-01,,,
3.79,SBAB,Rörlig,11139.0,"3,0 mrk",maj 2012,,,
4.37,SBAB,3 månader,11139.0,"1,74 mkr",2010,,,
4.37,SBAB,3 månader,11139.0,"1,74 mkr",2010,,,
2.73,SEB,2 år,11140.0,"2,5",20111201,,,
4.0,Handelsbanken,1 år,11140.0,,,,,
3.58,Swedbank,3 månader,11140.0,,,,,
4.2,Danske Bank,3 månader,11140.0,,,,,
3.92,SEB,3 månader,11140.0,,,,,
2.1,Handelsbanken,3 månader,11140.0,7 mkr,60530,,,
3.85,Handelsbanken,3 månader,11140.0,"2,7 mkr",120301,,,
2.68,SEB,2 år,11140.0,4,2010-09-25,,,
3.37,SEB,3 månader,11140.0,"1,73",2012-03-21,,,
4.13,Handelsbanken,3 månader,11140.0,"3,1",120201,,,
3.5,Swedbank,3 månader,11144.0,,,,,
2.67,SEB,2 år,11144.0,,,,,
3.51,SEB,3 månader,11144.0,,,,,
3.4,Nordea,3 månader,11144.0,,,,,
4.39,Swedbank,Rörlig,11152.0,,,,,
3.76,SEB,3 månader,11152.0,"2,8 mkr",2012-03-02,,,
2.85,Handelsbanken,3 år,11152.0,"2,4 mkr",Juni 2010,,,
4.0,Handelsbanken,Rörlig,11160.0,,,,,
3.62,SEB,2 år,11160.0,,,,,
3.6,Nordea,3 månader,11160.0,1530000,-,,,
3.3,SEB,Rörlig,11160.0,5 mkr,2012-03-01,,,
3.48,Swedbank,Rörlig,11160.0,"2,270 mkr",20120101,,,
3.88,SEB,1 år,11161.0,300000,augusti 2008,,,
