lum,agg,int,atm,col,dep_bis,pays,region,com_bis,com_codeINSEE,communes,N_voie,numac,infra,catr,type_route,voie,circ,nbv,pr,pr1,vosp,situ,lat,long,adr,accident_velo,vehicule_imp,cycl_mort,cycl_bgv,cycl_blg,cycl_indm
2,6,1,8,3,1,FRANCE,RHONE-ALPES,053,1053,BOURG-EN-BRESSE,RUE DU 23EME R.I.,1,0,4,VC,0,2,2,,,0,1,,,,1,7,0,0,1,0
1,6,6,1,3,1,FRANCE,RHONE-ALPES,053,1053,BOURG-EN-BRESSE,RUE DU STAND,48,0,4,VC,0,1,2,,,0,1,,,,1,3,0,0,1,0
1,6,6,1,3,1,FRANCE,RHONE-ALPES,053,1053,BOURG-EN-BRESSE,AVENUE AMEDEE MERCIER,53,0,3,RD,0,2,2,,,0,1,,,,1,7,0,0,1,0
1,6,6,1,3,1,FRANCE,RHONE-ALPES,053,1053,BOURG-EN-BRESSE,ROUTE DE MARBOZ,72,0,3,RD,996,2,2,,,0,1,,,,1,7,0,0,1,0
1,6,9,1,2,1,FRANCE,RHONE-ALPES,053,1053,BOURG-EN-BRESSE,RUE DE L'EST,80,0,4,VC,0,2,2,,,0,1,,,,1,7,0,0,1,0
1,6,6,1,3,1,FRANCE,RHONE-ALPES,053,1053,BOURG-EN-BRESSE,BOULEVARD DU 8 MAI 1945,82,0,4,VC,0,2,2,,,0,1,,,,1,7,0,0,1,0
1,5,1,1,6,1,FRANCE,RHONE-ALPES,289,1289,PERONNAS,RUE DE L'EUROPE,83,0,4,VC,0,2,2,,,2,5,,,,1,7,0,0,1,0
2,4,1,1,3,1,FRANCE,RHONE-ALPES,263,1263,MONTMERLE-SUR-SAONE,RD 933,92,0,3,RD,933,2,2,53,500,0,1,4609600,475900,,1,7,0,0,1,0
3,1,1,1,2,1,FRANCE,RHONE-ALPES,281,1281,ORNEX,RD 1005,107,0,3,RD,1005,2,1,0,0,0,0,0,0,,1,10,0,0,1,0
4,5,6,2,1,1,FRANCE,RHONE-ALPES,194,1194,JASSANS-RIOTTIER,RD 933,114,5,3,RD,933,2,0,0,0,0,1,0,0,,1,7,0,0,1,0
1,1,1,1,1,1,FRANCE,RHONE-ALPES,369,1369,SAINT-JUST,RD 979,117,0,3,RD,979,2,2,34,850,0,1,0,0,,1,7,0,0,1,0
1,6,3,1,3,1,FRANCE,RHONE-ALPES,053,1053,BOURG-EN-BRESSE,BOULEVARD GENERAL DE GAULLE,130,0,4,VC,0,3,0,,,0,1,,,,1,7,0,0,1,0
3,1,1,1,3,1,FRANCE,RHONE-ALPES,290,1290,PEROUGES,RD 1084,140,0,3,RD,1084,2,0,23,900,0,1,0,0,,1,7,0,0,1,0
1,2,1,1,3,1,FRANCE,RHONE-ALPES,139,1139,CURCIAT-DONGALON,RD 2,156,0,3,RD,2,2,2,0,0,0,1,0,0,,1,7,0,0,1,0
1,4,2,1,3,1,FRANCE,RHONE-ALPES,014,1014,ARBENT,RUE GENERAL DE GAULLE,159,0,3,RD,0,2,2,32,0,0,1,,,,1,7,0,0,1,0
1,6,1,1,3,1,FRANCE,RHONE-ALPES,053,1053,BOURG-EN-BRESSE,BOULEVARD DE BROU,171,0,4,VC,0,2,3,,,2,1,,,,1,7,0,0,1,0
5,4,1,1,3,1,FRANCE,RHONE-ALPES,263,1263,MONTMERLE-SUR-SAONE,Autre 0,199,0,9,Autre,0,2,2,0,0,0,1,0,0,,1,7,0,0,1,0
