id,name,town,id_nummer,nb_employees,nb_employees_with_degree,address,method,year_of_reference,foundation_year,assets,profits,director,share_of_total_capital,status,date,contact,buying_price 1,buying_price 2,buyer_city,buyer,date_sale,surface_building,surface_for_devt,capital_on_sale 1,capital_on_sale 2,surface_agri,date_calls
18,PRVI MAJ-STANDARD TI,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ŽIVINOPRODUKT,Vranjska Banja,7218087,412,17,Kralja Petra I 140,Bankruptcy,2010,1961,1424553,1940,,"70,00%",,,,,,,,,,,92296000,RSD,,
20,TVRDI METAL,Užice,7319550,71,8,Miloša Obrenovića 2,Bankruptcy,,1967,,,,"68,00%",,,,,,,,,,,39548000,RSD,,
22,MEDITEKS,Stepanovićevo,8249768,67,-,Stepe Stepanovića 111,Capital Market,2010,,193764,3998,,,,01.December 2008.,Vladimir Karić,,,,,,,,,,,
23,IMK 29. NOVEMBAR AD SUBOTICA - U STEČAJU,Subotica,8048754,263,13,TOLMINSKA 35,Bankruptcy,2010,1894,995222,0,,"65,73%",Contract terminated,,,,,,,,,,474190000,RSD,,04.July 2007.
25,ELGRAKOP,Ljig,17028502,63,6,Luke Spasojevića 54,Capital Market,,1995,,,Ljubinko Marković,"70,00%",Contract terminated,08.October 2001.,Ljubinko Marković,,,,,,3383,56500,12157000,RSD,,
26,PIROTEKS,Pirot,7203292,660,24,Vojvode Momčila b.b.,Bankruptcy,2010,1964,736196,0,,"70,00%",,,,,,,,,,,132073000,RSD,,
29,EMPA,Aleksinac,7107099,293,15,Petra Zeca 39,Bankruptcy,2010,1959,156168,0,,"70,00%",,,,,,,,,,,37824080,RSD,,
30,VENČAC / OMYA VENČAC,Aranđelovac,7113005,587,25,Venčački put b.b.,Tender,2010,1958,1164126,46957,Lacmanović,,Sold,26.November 2001.,"Danko Filipović, Milan Švabić",520165000,RSD (converted),"SERBIA, 11222 Jajinci Beograd",EUROPARK,11.March 2008.,10877,,,,,02.July 2007.
34,CENTRAL UDP,Beograd,7036604,96,1,Glavna 10,Bankruptcy,,1963,,,,"70,00%",Contract terminated,,,,,,,,,,66070000,RSD,,
41,CRNI VRH DK,Bajina Bašta,7216530,335,6,Lug bb,Bankruptcy,2010,1948,612404,0,,"70,00%",,,,,,,,,,,45368000,RSD,,
42,STANKOM STANDARD,Aranđelovac,7113129,85,2,Cara Dušana 1,Bankruptcy,2010,1965,126117,0,,"67,84%",,,,,,,,,,,24941000,RSD,,
49,ZAVOD ZA EKONOMIKU DOMAĆINSTAVA,Beograd,7024797,8,1,Zmaj Jovina 13,Bankruptcy,2010,5,24956,0,,"70,00%",Contract terminated,,,,,,,,,,20508000,RSD,,
52,SIRMODEKS,Sremska Mitrovica,8013934,158,3,Železnička 42,Bankruptcy,2010,1946,12995,293,,"69,87%",,,,,,,,,,,6539000,RSD,,
