City,School name,Details,Seismic risk,Year of construction
Penne,"Scuola Primaria ""M. Giardini""",,0.044,-
Atri,"Scuola Media Statale ""Mambelli""", Corpo A,0.149,1950
Atri,"Scuola Media Statale ""Mambelli""", Corpo B,0.143,1960
Civitella del Tronto,"Scuola Media Statale ""Gasbarrini""",,0.111,1960
Civitella del Tronto,"Scuola Media Statale ""Gasbarrini""",IC Civitella Del Tronto,0,1960
Chieti,"Scuola Media Statale ""F. Vicentini""",,0.0080,1960
Chieti,"Scuola Media Statale ""F. Vicentini""",Palestra,0.0050,1960
Chieti,"Scuola Media Statale ""C De Lollis""", Corpo F-g,0.737,1969
Chieti,"Scuola Media Statale ""C De Lollis""", Corpo D,0.67,1970
Chieti,"Scuola Media Statale ""C De Lollis""", Corpo B,0.669,1970
Chieti,"Scuola Media Statale ""C De Lollis""", Corpo E,0.55,1970
Chieti,"Scuola Media Statale ""C De Lollis""", Corpo C,0.517,1970
Teramo,Scuola media Statale, Corpo A E B,0.59,1974
Orsogna,Scuola media Statale,Palestra,0.752,
Crecchio,Scuola media Statale,,0.154,1970
Tocco,Scuola media Statale, Palestra,0.789,1962
Vacri,Scuola Media-Elementare Statale,Corpo B,0.555,1962
Vacri,Scuola Media Elementare Statale,Corpo A,0.263,1962
Civitella Roveto,"Scuola media ""Enrico Mattei""",,0,1960
Crecchio,Scuola Materna Statale Villa Tucci,,0.375,1960
Montefino,Scuola materna statale Villa Bozza,,0.513,1960
Chieti,"Scuola materna Statale ""via Ravizza""",,1.942,1969
Chieti,"Scuola Materna Statale ""Tricalle""",,0.231,1961
Chieti,"Scuola materna statale ""Santa Barbara""",,0.126,1972
Montefino,"Scuola materna Statale ""Crocetta S. Maria""",,1.365,1960
Ari,Scuola Materna Statale,,0.576,1960
Crecchio,Scuola Materna Statale,,0.375,1960
Roccaspinalveti,Scuola Materna Statale,,0.283,1962
Chieti,Scuola Materna Statale,,0.249,1960
Chieti,Scuola Materna Statale,,0.217,1960
Chieti,Scuola Materna Statale,,0.149,1970
Civitella,Scuola Materna Statale,,0.148,1965
Civitella,Scuola Materna Statale,,0.074,1960
Montenerodomo,Scuola Materna Statale,,0,1961
Giuliano,Scuola Materna Statale,,0.217,1961
Civitella,"Scuola Materna ""Citta di Genova""",,0.124,1925
Civitella Roveto,"Scuola materna ""Aldo Moro""",,0,1976
Spoltore,"Scuola Mat-Elem Statale ""S. Teresa""",,0.05,1989
Tollo,Scuola Elementare Statale Via Mazzini,,0.334,1960
Tossiccia,"Scuola Elementare Statale e Scuola Media Statale ""Capriotti""", Corpo A,0.069,1960
Torano Nuovo,Scuola Elementare Statale e Scuola Media Statale,,0.034,1960
Chieti,"Scuola Elementare Statale ""via Bosio""",,0.439,1970
Chieti,"Scuola Elementare Statale ""S. Andrea""",,0.07,1972
Chieti,"Scuola Elementare Statale ""A. Corradi""",,0.066,1960
Chieti,"Scuola Elementare Statale ""A. Cesari""",,0.349,1971
Chieti,"Scuola Elementare Statale ""A. Cesari""",,0.987,1971
